arquivo,mean,median,max,min,std,cv,mean_abs_diff,std_diff,max_diff,peak_count,peak_ratio,autocorr_lag1,autocorr_lag60,entropy,cluster
ISEA--22-09-2025--2025-09-27.json,77565.02864583333,78517.1,108263.77,52714.82,12879.449083846788,0.1660471130959693,4541.581535788742,6635.138535551208,21676.550000000003,18.0,0.0125,0.8673448068969417,0.6457249491083129,3.732408154158658,3
LSD--03-03-2025--2025-03-06.json,22740.61937072836,19877.28658333333,44848.84166666667,13393.009666666669,7652.075535746318,0.3364937168596226,981.0365859393096,1358.126132786147,5302.423500000008,54.0,0.0375,0.9842520063418264,0.8238509280716079,3.480252962871749,0
DrEdigley--06-01-2025--2025-01-12.json,34561.28178125,33380.835,59936.775,16512.949999999997,8436.363952739974,0.2440986999885179,4373.695552466991,5529.035715151818,18239.079999999994,51.0,0.0354166666666666,0.7852220357862174,0.5308976950219819,3.631861173335024,0
PlinioLemos--06-01-2025--2025-01-11.json,1923.6993993055555,2814.025,6810.795,-7553.975,3545.7443066527785,1.843190421503886,343.5535545517721,886.1670331889956,6704.56,0.0,0.0,0.9687780010886776,0.7890637607857273,3.3821246656746387,2
PlinioLemos--06-01-2025--2025-01-10.json,6339.4356145833335,4904.8150000000005,17990.395,-3137.59,4870.156311727363,0.7682318439395427,359.3518311327311,927.5503514594894,6219.625,57.0,0.0395833333333333,0.9818746566989064,0.7558742470495126,3.084657091560147,0
Fellype--22-09-2025--2025-09-22.json,109.96204176331206,85.62941666666667,4791.522666666667,12.593,311.45267941316587,2.832365372803395,18.146795853468383,206.45695073594973,4105.901,9.0,0.00625,0.7804329568613125,-0.0162474022367503,0.8022207077641215,2
CentroCultural--06-10-2025--2025-10-07.json,1431.39859375,1496.0700000000002,4313.105,187.23,1017.4449084316514,0.7108047422109962,32.27397150799166,105.422777112361,1123.535,17.0,0.0118055555555555,0.9946327957623629,0.7726608897158312,3.259153525422968,2
UPADina--04-08-2025--2025-08-04.json,16723.896027777777,17042.22,29389.09,8402.51,3492.207628476227,0.2088154352715299,943.4841070187632,1291.9876406462422,7345.959999999999,34.0,0.0236111111111111,0.931596896114684,0.5975835248365771,3.487148590116604,0
Fellype--22-09-2025--2025-09-27.json,120.85180847222222,86.50925,4643.816000000001,12.406166666666667,161.27584566988327,1.334492612967,9.535225735464444,123.32690490544888,3783.976333333334,4.0,0.0027777777777777,0.7077704299243557,0.0060841065350221,0.9293996271569434,2
RC02--14-07-2025--2025-07-16.json,-7959.679762256919,-8695.355083333334,8494.740333333333,-16895.93216666667,3990.385131544989,-0.501324833502289,1003.5344067659196,1335.0344514498686,6940.562333333333,33.0,0.0229166666666666,0.9440633295962508,-0.0827664418615003,3.400503401666989,0
